name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Circle,circle|wd1|circle,workday,40,low,1,delta-verified; 75 jobs
Panduit,panduit|wd1|international,workday,40,low,1,delta-verified; 75 jobs
Wpi,wpi|wd5|wpi_external_career_site,workday,40,low,1,delta-verified; 75 jobs
Zentiva,zentiva|wd3|zentiva,workday,40,low,1,delta-verified; 75 jobs
Toogoodtogo,toogoodtogo,greenhouse,40,low,1,delta-verified; 74 jobs
Coorstek,coorstek|wd1|coorstekcareers,workday,40,low,1,delta-verified; 74 jobs
Wlt,wlt|wd3|wl_careers,workday,40,low,1,delta-verified; 74 jobs
Wehrtyou,wehrtyou,greenhouse,40,low,1,delta-verified; 73 jobs
Triumvirateenvironmental,triumvirateenvironmental,greenhouse,40,low,1,delta-verified; 72 jobs
Tysonmendesllp,tysonmendesllp,greenhouse,40,low,1,delta-verified; 71 jobs
Xebiacee,xebiacee,greenhouse,40,low,1,delta-verified; 71 jobs
Ww,ww,greenhouse,40,low,1,delta-verified; 71 jobs
Tecovas,tecovas,greenhouse,40,low,1,delta-verified; 70 jobs
Ardian,ardian|wd103|ardiancareers,workday,40,low,1,delta-verified; 70 jobs
Uwaterloo,uwaterloo|wd3|uw_careers,workday,40,low,1,delta-verified; 70 jobs
Websteronline,websteronline|wd12|websterexternalcareersite,workday,40,low,1,delta-verified; 70 jobs
Towerresearchcapital,towerresearchcapital,greenhouse,40,low,1,delta-verified; 68 jobs
Vscfiresecurityinc,vscfiresecurityinc,greenhouse,40,low,1,delta-verified; 68 jobs
Thoughtworks,thoughtworks,greenhouse,40,low,1,delta-verified; 67 jobs
Vaynermedia,vaynermedia,greenhouse,40,low,1,delta-verified; 66 jobs
Vfc,vfc|wd5|broadbean,workday,40,low,1,delta-verified; 66 jobs
Arsiem,arsiem,lever,40,low,1,delta-verified; 65 jobs
Dallascollege,dallascollege|wd1|dallas_college_careers,workday,40,low,1,delta-verified; 65 jobs
Zinnov,zinnov,greenhouse,40,low,1,delta-verified; 64 jobs
Tanium,tanium,greenhouse,40,low,1,delta-verified; 63 jobs
Trustpilot,trustpilot,greenhouse,40,low,1,delta-verified; 63 jobs
Vaco,vaco,greenhouse,40,low,1,delta-verified; 63 jobs
Chess,chess|wd1|sfcc,workday,40,low,1,delta-verified; 63 jobs
Gresearch,gresearch|wd103|g-research,workday,40,low,1,delta-verified; 63 jobs
Woodmac,woodmac|wd3|woodmaccareers,workday,40,low,1,delta-verified; 63 jobs
Tpcengineeringholdingsllc,tpcengineeringholdingsllc,greenhouse,40,low,1,delta-verified; 62 jobs
Usenourish,usenourish,greenhouse,40,low,1,delta-verified; 62 jobs
Weinsteinproperties,weinsteinproperties,greenhouse,40,low,1,delta-verified; 62 jobs
Cmegroup,cmegroup|wd1|cme_careers,workday,40,low,1,delta-verified; 62 jobs
Wycokck,wycokck|wd1|recexternalcareers,workday,40,low,1,delta-verified; 62 jobs
Talkdesk2,talkdesk2,greenhouse,40,low,1,delta-verified; 61 jobs
Varicent,varicent,greenhouse,40,low,1,delta-verified; 60 jobs
Viralnation,viralnation,greenhouse,40,low,1,delta-verified; 60 jobs
Zenoti,zenoti,greenhouse,40,low,1,delta-verified; 60 jobs
Devoted,devoted|wd1|devoted,workday,40,low,1,delta-verified; 60 jobs
Studsinc,studsinc,greenhouse,40,low,1,delta-verified; 59 jobs
